northing,easting,District,Coordinate,Row 
815013.375,832366.687,TUEN MUN,1,1
816101.5,832343.187,TUEN MUN,2,2
816101.437,832396.437,TUEN MUN,3,3
816108.562,832401.375,TUEN MUN,4,4
816141.937,832402.812,TUEN MUN,5,5
816160.125,832401.75,TUEN MUN,6,6
816168.75,832400.125,TUEN MUN,7,7
816190.625,832401.187,TUEN MUN,8,8
816196.562,832400.125,TUEN MUN,9,9
816205.875,832396.562,TUEN MUN,10,10
816214,832390.75,TUEN MUN,11,11
816220.5,832383.187,TUEN MUN,12,12
816225,832374.312,TUEN MUN,13,13
816229.937,832367.437,TUEN MUN,14,14
816233.937,832364.375,TUEN MUN,15,15
816238.437,832362.312,TUEN MUN,16,16
816243.312,832361.25,TUEN MUN,17,17
816249.187,832362.875,TUEN MUN,18,18
816258.312,832366.937,TUEN MUN,19,19
816276.687,832378.562,TUEN MUN,20,20
816281.625,832383.437,TUEN MUN,21,21
816286.437,832384.687,TUEN MUN,22,22
816310.812,832380.562,TUEN MUN,23,23
816338.625,832381.562,TUEN MUN,24,24
816343.562,832382.312,TUEN MUN,25,25
816360.875,832387.875,TUEN MUN,26,26
816370.812,832387.875,TUEN MUN,27,27
816425.937,832396.375,TUEN MUN,28,28
816434.562,832396.625,TUEN MUN,29,29
816444.125,832393.812,TUEN MUN,30,30
816452.25,832388.062,TUEN MUN,31,31
816455.5,832384.25,TUEN MUN,32,32
816459.937,832375.375,TUEN MUN,33,33
816461.187,832365.5,TUEN MUN,34,34
816460.812,832355.187,TUEN MUN,35,35
816457.562,832340.562,TUEN MUN,36,36
816453.687,832331.375,TUEN MUN,37,37
816454.312,832325.312,TUEN MUN,38,38
816458.937,832324.125,TUEN MUN,39,39
816467.125,832331.812,TUEN MUN,40,40
816471.25,832334.562,TUEN MUN,41,41
816480.25,832338.875,TUEN MUN,42,42
816489.937,832341.187,TUEN MUN,43,43
816494.937,832341.625,TUEN MUN,44,44
816525.812,832339,TUEN MUN,45,45
816534.875,832334.875,TUEN MUN,46,46
816555.562,832314.75,TUEN MUN,47,47
816560.125,832305.875,TUEN MUN,48,48
816563.187,832295.937,TUEN MUN,49,49
816567.875,832294.75,TUEN MUN,50,50
816574.312,832295.5,TUEN MUN,51,51
816579,832297.187,TUEN MUN,52,52
816583.25,832299.875,TUEN MUN,53,53
816586.875,832303.312,TUEN MUN,54,54
816589.687,832307.375,TUEN MUN,55,55
816602.5,832307.875,TUEN MUN,56,56
816606.875,832301.812,TUEN MUN,57,57
816617.875,832301.937,TUEN MUN,58,58
816621.687,832298.75,TUEN MUN,59,59
816635.25,832294.375,TUEN MUN,60,60
816654.937,832291.312,TUEN MUN,61,61
816669.937,832291.5,TUEN MUN,62,62
816674.687,832288.75,TUEN MUN,63,63
816684.125,832285.437,TUEN MUN,64,64
816709.937,832280.562,TUEN MUN,65,65
816734.25,832274.75,TUEN MUN,66,66
816779.312,832261.25,TUEN MUN,67,67
816794.25,832259.687,TUEN MUN,68,68
816804.187,832260.25,TUEN MUN,69,69
816822.687,832264.062,TUEN MUN,70,70
816842.625,832264.937,TUEN MUN,71,71
816838.75,832269.187,TUEN MUN,72,72
816833.625,832277.75,TUEN MUN,73,73
816831,832287.375,TUEN MUN,74,74
816830.625,832292.375,TUEN MUN,75,75
816833.75,832323,TUEN MUN,76,76
816863,832317.187,TUEN MUN,77,77
816870.625,832335.687,TUEN MUN,78,78
816904.937,832337.062,TUEN MUN,79,79
816909.812,832338,TUEN MUN,80,80
816914.312,832340.125,TUEN MUN,81,81
816918.125,832343.375,TUEN MUN,82,82
816932.625,832339.625,TUEN MUN,83,83
816932,832318.125,TUEN MUN,84,84
816943.5,832313.062,TUEN MUN,85,85
